Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.1602	-0.05348863	-0.04582335	-0.04	-0.04583304	-0.04	-0.05977353	
4.1604	-0.05349592	-0.04581633	-0.04	-0.045826	-0.04	-0.05977363	
4.1606	-0.05350294	-0.04580958	-0.04	-0.04581924	-0.04	-0.05977373	
4.1608	-0.05350967	-0.0458031	-0.04	-0.04581275	-0.04	-0.05977382	
4.161	-0.05351694	-0.04579609	-0.04	-0.04580573	-0.04	-0.05977393	
4.1612	-0.05352392	-0.04578936	-0.04	-0.04579899	-0.04	-0.05977402	
4.1614	-0.05353064	-0.0457829	-0.04	-0.04579252	-0.04	-0.05977412	
4.1616	-0.05353788	-0.04577592	-0.04	-0.04578553	-0.04	-0.05977422	
4.1618	-0.05354485	-0.04576922	-0.04	-0.04577881	-0.04	-0.05977431	
4.162	-0.05355154	-0.04576278	-0.04	-0.04577236	-0.04	-0.05977441	
4.1622	-0.05355876	-0.04575582	-0.04	-0.04576539	-0.04	-0.05977451	
4.1624	-0.0535657	-0.04574914	-0.04	-0.04575869	-0.04	-0.05977461	
4.1626	-0.05357236	-0.04574272	-0.04	-0.04575226	-0.04	-0.0597747	
4.1628	-0.05357956	-0.04573578	-0.04	-0.04574532	-0.04	-0.0597748	
4.163	-0.05358648	-0.04572912	-0.04	-0.04573864	-0.04	-0.0597749	
4.1632	-0.05359313	-0.04572272	-0.04	-0.04573223	-0.04	-0.05977499	
4.1634	-0.0536003	-0.04571582	-0.04	-0.04572531	-0.04	-0.05977509	
4.1636	-0.0536072	-0.04570918	-0.04	-0.04571866	-0.04	-0.05977518	
4.1638	-0.05361382	-0.0457028	-0.04	-0.04571227	-0.04	-0.05977528	
4.164	-0.05362097	-0.04569591	-0.04	-0.04570537	-0.04	-0.05977538	
4.1642	-0.05362784	-0.04568929	-0.04	-0.04569874	-0.04	-0.05977548	
4.1644	-0.05363444	-0.04568294	-0.04	-0.04569237	-0.04	-0.05977557	
4.1646	-0.05364157	-0.04567607	-0.04	-0.0456855	-0.04	-0.05977567	
4.1648	-0.05364842	-0.04566948	-0.04	-0.04567889	-0.04	-0.05977576	
4.165	-0.053655	-0.04566314	-0.04	-0.04567254	-0.04	-0.05977586	
4.1652	-0.0536621	-0.0456563	-0.04	-0.04566569	-0.04	-0.05977596	
4.1654	-0.05366893	-0.04564973	-0.04	-0.0456591	-0.04	-0.05977605	
4.1656	-0.05367548	-0.04564341	-0.04	-0.04565278	-0.04	-0.05977614	
4.1658	-0.05368257	-0.04563659	-0.04	-0.04564594	-0.04	-0.05977624	
4.166	-0.05368937	-0.04563004	-0.04	-0.04563938	-0.04	-0.05977634	
4.1662	-0.05369591	-0.04562375	-0.04	-0.04563308	-0.04	-0.05977643	
4.1664	-0.05370297	-0.04561695	-0.04	-0.04562627	-0.04	-0.05977653	
4.1666	-0.05370975	-0.04561042	-0.04	-0.04561973	-0.04	-0.05977662	
4.1668	-0.05371626	-0.04560414	-0.04	-0.04561344	-0.04	-0.05977671	
4.167	-0.05372329	-0.04559737	-0.04	-0.04560665	-0.04	-0.05977681	
4.1672	-0.05373005	-0.04559086	-0.04	-0.04560013	-0.04	-0.05977691	
4.1674	-0.05373655	-0.04558461	-0.04	-0.04559387	-0.04	-0.059777	
4.1676	-0.05374356	-0.04557786	-0.04	-0.04558711	-0.04	-0.05977709	
4.1678	-0.05375029	-0.04557137	-0.04	-0.04558061	-0.04	-0.05977719	
4.168	-0.05375677	-0.04556514	-0.04	-0.04557436	-0.04	-0.05977728	
4.1682	-0.05376375	-0.04555841	-0.04	-0.04556762	-0.04	-0.05977738	
4.1684	-0.05377047	-0.04555194	-0.04	-0.04556115	-0.04	-0.05977747	
4.1686	-0.05377692	-0.04554573	-0.04	-0.04555492	-0.04	-0.05977756	
4.1688	-0.05378388	-0.04553902	-0.04	-0.0455482	-0.04	-0.05977766	
4.169	-0.05379057	-0.04553258	-0.04	-0.04554175	-0.04	-0.05977775	
4.1692	-0.053797	-0.04552639	-0.04	-0.04553555	-0.04	-0.05977784	
4.1694	-0.05380394	-0.0455197	-0.04	-0.04552885	-0.04	-0.05977794	
4.1696	-0.05381062	-0.04551328	-0.04	-0.04552241	-0.04	-0.05977803	
4.1698	-0.05381702	-0.04550711	-0.04	-0.04551623	-0.04	-0.05977812	
4.17	-0.05382394	-0.04550044	-0.04	-0.04550956	-0.04	-0.05977822	
4.1702	-0.05383059	-0.04549404	-0.04	-0.04550314	-0.04	-0.05977831	
4.1704	-0.05383698	-0.04548789	-0.04	-0.04549698	-0.04	-0.0597784	
4.1706	-0.05384387	-0.04548125	-0.04	-0.04549033	-0.04	-0.0597785	
4.1708	-0.0538505	-0.04547487	-0.04	-0.04548394	-0.04	-0.05977859	
4.171	-0.05385686	-0.04546874	-0.04	-0.0454778	-0.04	-0.05977868	
4.1712	-0.05386374	-0.04546212	-0.04	-0.04547117	-0.04	-0.05977877	
4.1714	-0.05387034	-0.04545576	-0.04	-0.0454648	-0.04	-0.05977887	
4.1716	-0.05387669	-0.04544965	-0.04	-0.04545867	-0.04	-0.05977895	
4.1718	-0.05388353	-0.04544305	-0.04	-0.04545207	-0.04	-0.05977905	
4.172	-0.05389012	-0.04543672	-0.04	-0.04544572	-0.04	-0.05977914	
4.1722	-0.05389644	-0.04543063	-0.04	-0.04543962	-0.04	-0.05977923	
4.1724	-0.05390327	-0.04542405	-0.04	-0.04543303	-0.04	-0.05977933	
4.1726	-0.05390983	-0.04541773	-0.04	-0.0454267	-0.04	-0.05977942	
4.1728	-0.05391613	-0.04541166	-0.04	-0.04542062	-0.04	-0.05977951	
4.173	-0.05392294	-0.04540511	-0.04	-0.04541405	-0.04	-0.0597796	
4.1732	-0.05392948	-0.04539881	-0.04	-0.04540775	-0.04	-0.05977969	
4.1734	-0.05393576	-0.04539276	-0.04	-0.04540168	-0.04	-0.05977978	
4.1736	-0.05394254	-0.04538623	-0.04	-0.04539514	-0.04	-0.05977987	
4.1738	-0.05394906	-0.04537996	-0.04	-0.04538886	-0.04	-0.05977997	
4.174	-0.05395532	-0.04537392	-0.04	-0.04538281	-0.04	-0.05978005	
4.1742	-0.05396208	-0.04536741	-0.04	-0.04537629	-0.04	-0.05978015	
4.1744	-0.05396858	-0.04536116	-0.04	-0.04537002	-0.04	-0.05978024	
4.1746	-0.05397482	-0.04535515	-0.04	-0.045364	-0.04	-0.05978033	
4.1748	-0.05398156	-0.04534866	-0.04	-0.0453575	-0.04	-0.05978042	
4.175	-0.05398803	-0.04534242	-0.04	-0.04535126	-0.04	-0.05978051	
4.1752	-0.05399425	-0.04533643	-0.04	-0.04534526	-0.04	-0.0597806	
4.1754	-0.05400097	-0.04532997	-0.04	-0.04533878	-0.04	-0.05978069	
4.1756	-0.05400742	-0.04532375	-0.04	-0.04533255	-0.04	-0.05978078	
4.1758	-0.05401362	-0.04531778	-0.04	-0.04532657	-0.04	-0.05978087	
4.176	-0.05402031	-0.04531134	-0.04	-0.04532012	-0.04	-0.05978096	
4.1762	-0.05402675	-0.04530514	-0.04	-0.04531391	-0.04	-0.05978105	
4.1764	-0.05403293	-0.04529919	-0.04	-0.04530795	-0.04	-0.05978114	
4.1766	-0.0540396	-0.04529276	-0.04	-0.04530151	-0.04	-0.05978123	
4.1768	-0.05404601	-0.04528659	-0.04	-0.04529533	-0.04	-0.05978132	
4.177	-0.05405217	-0.04528066	-0.04	-0.04528939	-0.04	-0.05978141	
4.1772	-0.05405882	-0.04527426	-0.04	-0.04528297	-0.04	-0.0597815	
4.1774	-0.05406521	-0.0452681	-0.04	-0.04527681	-0.04	-0.05978159	
4.1776	-0.05407134	-0.04526219	-0.04	-0.04527089	-0.04	-0.05978168	
4.1778	-0.05407797	-0.04525581	-0.04	-0.04526449	-0.04	-0.05978177	
