Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.071	-0.04000002	-0.06004057	-0.06001001	-0.03999884	
9.071199	-0.04000002	-0.0600405	-0.06001001	-0.03999884	
9.0714	-0.04000002	-0.06004043	-0.06001001	-0.03999885	
9.0716	-0.04000002	-0.06004037	-0.06001001	-0.03999885	
9.0718	-0.04000002	-0.0600403	-0.06001001	-0.03999886	
9.072	-0.04000002	-0.06004022	-0.06001001	-0.03999886	
9.0722	-0.04000002	-0.06004015	-0.06001001	-0.03999887	
9.0724	-0.04000002	-0.06004008	-0.06001001	-0.03999887	
9.072599	-0.04000002	-0.06004002	-0.06001001	-0.03999887	
9.0728	-0.04000002	-0.06003994	-0.06001001	-0.03999888	
9.073	-0.04000002	-0.06003987	-0.06001001	-0.03999889	
9.0732	-0.04000002	-0.06003981	-0.06001001	-0.03999889	
9.0734	-0.04000002	-0.06003974	-0.06001001	-0.03999889	
9.0736	-0.04000002	-0.06003967	-0.06001001	-0.0399989	
9.0738	-0.04000002	-0.0600396	-0.06001001	-0.0399989	
9.073999	-0.04000002	-0.06003953	-0.06001001	-0.03999891	
9.0742	-0.04000002	-0.06003946	-0.06001001	-0.03999891	
9.0744	-0.04000002	-0.06003939	-0.06001001	-0.03999892	
9.0746	-0.04000002	-0.06003933	-0.06001001	-0.03999892	
9.0748	-0.04000002	-0.06003926	-0.06001001	-0.03999893	
9.075	-0.04000002	-0.06003919	-0.06001001	-0.03999893	
9.0752	-0.04000002	-0.06003912	-0.06001001	-0.03999893	
9.075399	-0.04000002	-0.06003905	-0.06001001	-0.03999894	
9.0756	-0.04000002	-0.06003899	-0.06001001	-0.03999894	
9.0758	-0.04000002	-0.06003892	-0.06001001	-0.03999895	
9.076	-0.04000002	-0.06003885	-0.06001001	-0.03999895	
9.0762	-0.04000002	-0.06003879	-0.06001001	-0.03999896	
9.0764	-0.04000002	-0.06003872	-0.06001001	-0.03999896	
9.0766	-0.04000002	-0.06003865	-0.06001001	-0.03999897	
9.076799	-0.04000002	-0.06003859	-0.06001001	-0.03999897	
9.077	-0.04000002	-0.06003852	-0.06001001	-0.03999897	
9.0772	-0.04000002	-0.06003845	-0.06001001	-0.03999898	
9.0774	-0.04000002	-0.06003839	-0.06001001	-0.03999898	
9.0776	-0.04000002	-0.06003832	-0.06001001	-0.03999899	
9.0778	-0.04000002	-0.06003826	-0.06001001	-0.03999899	
9.078	-0.04000002	-0.06003819	-0.06001001	-0.039999	
9.078199	-0.04000002	-0.06003813	-0.06001001	-0.039999	
9.0784	-0.04000002	-0.06003806	-0.06001001	-0.039999	
9.0786	-0.04000002	-0.060038	-0.06001001	-0.03999901	
9.0788	-0.04000002	-0.06003793	-0.06001001	-0.03999901	
9.079	-0.04000002	-0.06003787	-0.06001001	-0.03999902	
9.0792	-0.04000002	-0.0600378	-0.06001001	-0.03999902	
9.0794	-0.04000002	-0.06003774	-0.06001001	-0.03999902	
9.079599	-0.04000002	-0.06003767	-0.06001001	-0.03999903	
9.0798	-0.04000002	-0.06003761	-0.06001001	-0.03999903	
9.08	-0.04000002	-0.06003755	-0.06001001	-0.03999904	
9.0802	-0.04000002	-0.06003748	-0.06001001	-0.03999904	
9.0804	-0.04000002	-0.06003742	-0.06001001	-0.03999905	
9.0806	-0.04000002	-0.06003735	-0.06001001	-0.03999905	
9.0808	-0.04000002	-0.06003729	-0.06001001	-0.03999905	
9.080999	-0.04000002	-0.06003723	-0.06001001	-0.03999906	
9.0812	-0.04000002	-0.06003716	-0.06001001	-0.03999906	
9.0814	-0.04000002	-0.0600371	-0.06001001	-0.03999906	
9.0816	-0.04000002	-0.06003704	-0.06001001	-0.03999907	
9.0818	-0.04000002	-0.06003698	-0.06001001	-0.03999907	
9.082	-0.04000002	-0.06003691	-0.06001001	-0.03999908	
9.0822	-0.04000002	-0.06003685	-0.06001001	-0.03999908	
9.082399	-0.04000002	-0.06003679	-0.06001001	-0.03999908	
9.0826	-0.04000002	-0.06003673	-0.06001001	-0.03999909	
9.0828	-0.04000002	-0.06003666	-0.06001001	-0.03999909	
9.083	-0.04000002	-0.0600366	-0.06001001	-0.03999909	
9.0832	-0.04000002	-0.06003654	-0.06001001	-0.0399991	
9.0834	-0.04000002	-0.06003648	-0.06001001	-0.0399991	
9.0836	-0.04000002	-0.06003642	-0.06001001	-0.03999911	
9.083799	-0.04000002	-0.06003636	-0.06001001	-0.03999911	
9.084	-0.04000002	-0.06003629	-0.06001001	-0.03999911	
9.0842	-0.04000002	-0.06003623	-0.06001001	-0.03999912	
9.0844	-0.04000002	-0.06003617	-0.06001001	-0.03999912	
9.084599	-0.04000002	-0.06003611	-0.06001001	-0.03999912	
9.0848	-0.04000002	-0.06003605	-0.06001001	-0.03999913	
9.085	-0.04000002	-0.06003599	-0.06001001	-0.03999913	
9.085199	-0.04000002	-0.06003593	-0.06001001	-0.03999913	
9.0854	-0.04000002	-0.06003587	-0.06001001	-0.03999914	
9.0856	-0.04000002	-0.06003581	-0.06001001	-0.03999914	
9.0858	-0.04000002	-0.06003575	-0.06001001	-0.03999915	
9.085999	-0.04000002	-0.06003569	-0.06001001	-0.03999915	
9.0862	-0.04000002	-0.06003563	-0.06001001	-0.03999915	
9.0864	-0.04000002	-0.06003557	-0.06001001	-0.03999916	
9.086599	-0.04000002	-0.06003551	-0.06001001	-0.03999916	
9.0868	-0.04000002	-0.06003546	-0.06001001	-0.03999916	
9.087	-0.04000002	-0.0600354	-0.06001001	-0.03999917	
9.0872	-0.04000002	-0.06003534	-0.06001001	-0.03999917	
9.087399	-0.04000002	-0.06003528	-0.06001001	-0.03999918	
9.0876	-0.04000002	-0.06003522	-0.06001001	-0.03999918	
9.0878	-0.04000002	-0.06003516	-0.06001001	-0.03999918	
9.087999	-0.04000002	-0.0600351	-0.06001001	-0.03999919	
9.0882	-0.04000002	-0.06003504	-0.06001001	-0.03999919	
9.0884	-0.04000002	-0.06003499	-0.06001001	-0.03999919	
9.0886	-0.04000002	-0.06003493	-0.06001001	-0.03999919	
9.088799	-0.04000002	-0.06003487	-0.06001001	-0.0399992	
9.089	-0.04000002	-0.06003481	-0.06001001	-0.0399992	
9.0892	-0.04000002	-0.06003476	-0.06001001	-0.03999921	
9.089399	-0.04000002	-0.0600347	-0.06001001	-0.03999921	
9.0896	-0.04000002	-0.06003464	-0.06001001	-0.03999921	
9.0898	-0.04000002	-0.06003458	-0.06001001	-0.03999922	
9.09	-0.04000002	-0.06003452	-0.06001001	-0.03999922	
9.090199	-0.04000002	-0.06003447	-0.06001001	-0.03999922	
9.0904	-0.04000002	-0.06003441	-0.06001001	-0.03999922	
9.0906	-0.04000002	-0.06003436	-0.06001001	-0.03999923	
9.090799	-0.04000002	-0.0600343	-0.06001001	-0.03999923	
9.091	-0.04000002	-0.06003424	-0.06001001	-0.03999924	
9.0912	-0.04000002	-0.06003419	-0.06001001	-0.03999924	
9.0914	-0.04000002	-0.06003413	-0.06001001	-0.03999924	
9.091599	-0.04000002	-0.06003407	-0.06001001	-0.03999925	
9.0918	-0.04000002	-0.06003402	-0.06001001	-0.03999925	
9.092	-0.04000002	-0.06003396	-0.06001001	-0.03999925	
9.092199	-0.04000002	-0.06003391	-0.06001001	-0.03999925	
9.0924	-0.04000002	-0.06003385	-0.06001001	-0.03999926	
9.0926	-0.04000002	-0.0600338	-0.06001	-0.03999926	
9.0928	-0.04000002	-0.06003374	-0.06001	-0.03999927	
9.092999	-0.04000002	-0.06003369	-0.06001	-0.03999927	
9.0932	-0.04000002	-0.06003363	-0.06001	-0.03999927	
9.0934	-0.04000002	-0.06003358	-0.06001	-0.03999927	
9.093599	-0.04000002	-0.06003352	-0.06001	-0.03999928	
9.0938	-0.04000002	-0.06003347	-0.06001	-0.03999928	
9.094	-0.04000002	-0.06003341	-0.06001	-0.03999928	
9.0942	-0.04000002	-0.06003336	-0.06001	-0.03999928	
